baseline,flow_magnitude_mean,flow_magnitude_std,jacobian_conditioning_mean,jacobian_conditioning_std
DFPHS,0.0,0.0,1.0000002266168593,2.677011754222372e-08
DPF-GradNet,10.671594891548157,0.33732464561338615,1.0000004905462263,9.614656042687393e-09
DPFNet-HMC,10.774722531318664,0.41042868631439305,1.0000004868507386,1.481460224419286e-08
DPFOT,50.2325534992218,12.53661782235068,186168996.0112731,54976301.20622772
DPFOT-HMC,47.79236263275146,12.041374897501392,168363475.37997046,54740040.55420379
DPFS,0.0,0.0,1.0000002205371854,1.2319575000423856e-08
IPFPF,0.0,0.0,1.0000001587867737,7.207973669627153e-09
SPFSM,1.4355045180320738,0.0011469341177344004,1.028750468492508,0.00055736428739434
