scenario,baseline,seed,regularization,iterations,regularization_param,iterations_param,rmse,rmse_percent,coverage,coverage_percent,mean_ess,runtime_sec,peak_memory_mb
sigmaV2_10_sigmaW2_10,DPFOT,11,0.05,20,epsilon,sinkhorn_iters,29.68818473815918,63.419700622558594,0.24300000071525574,24.299999237060547,200.00001525878906,3.056605339050293,0.0
sigmaV2_10_sigmaW2_10,DPFOT,22,0.05,20,epsilon,sinkhorn_iters,31.811491012573242,67.95549774169922,0.2240000069141388,22.400001525878906,200.00001525878906,2.943255662918091,0.0
sigmaV2_10_sigmaW2_10,DPFOT,33,0.05,20,epsilon,sinkhorn_iters,31.20267105102539,66.65493774414062,0.23499999940395355,23.5,200.00001525878906,2.62729549407959,0.0
sigmaV2_10_sigmaW2_10,DPFOT,44,0.05,20,epsilon,sinkhorn_iters,31.492076873779297,67.2731704711914,0.23199999332427979,23.19999885559082,200.00001525878906,2.8647029399871826,0.0
sigmaV2_10_sigmaW2_10,DPFOT,55,0.05,20,epsilon,sinkhorn_iters,29.98081398010254,64.04481506347656,0.23399999737739563,23.399999618530273,200.00001525878906,2.82395339012146,0.0
sigmaV2_10_sigmaW2_10,DPFOT,11,0.05,50,epsilon,sinkhorn_iters,29.59235382080078,63.21499252319336,0.24699999392032623,24.69999885559082,200.00001525878906,6.330846071243286,0.0
sigmaV2_10_sigmaW2_10,DPFOT,22,0.05,50,epsilon,sinkhorn_iters,30.841604232788086,65.88362884521484,0.23199999332427979,23.19999885559082,200.00001525878906,6.0299952030181885,0.0
sigmaV2_10_sigmaW2_10,DPFOT,33,0.05,50,epsilon,sinkhorn_iters,31.310562133789062,66.88541412353516,0.2329999953508377,23.299999237060547,200.00001525878906,6.414834499359131,0.0
sigmaV2_10_sigmaW2_10,DPFOT,44,0.05,50,epsilon,sinkhorn_iters,30.739028930664062,65.66451263427734,0.19900000095367432,19.899999618530273,200.00001525878906,6.011576414108276,0.0
sigmaV2_10_sigmaW2_10,DPFOT,55,0.05,50,epsilon,sinkhorn_iters,30.48696517944336,65.12605285644531,0.22599999606609344,22.600000381469727,200.00001525878906,7.0168092250823975,0.0
sigmaV2_10_sigmaW2_10,DPFOT,11,0.05,100,epsilon,sinkhorn_iters,30.524545669555664,65.20633697509766,0.257999986410141,25.799999237060547,200.00001525878906,13.227534294128418,0.0
sigmaV2_10_sigmaW2_10,DPFOT,22,0.05,100,epsilon,sinkhorn_iters,30.07832145690918,64.25311279296875,0.2590000033378601,25.899999618530273,200.00001525878906,12.557756662368774,0.0
sigmaV2_10_sigmaW2_10,DPFOT,33,0.05,100,epsilon,sinkhorn_iters,30.60736083984375,65.38323974609375,0.28200000524520874,28.200000762939453,200.00001525878906,12.832719087600708,0.0
sigmaV2_10_sigmaW2_10,DPFOT,44,0.05,100,epsilon,sinkhorn_iters,30.440185546875,65.026123046875,0.27900001406669617,27.900001525878906,200.00001525878906,9.88694429397583,0.0
sigmaV2_10_sigmaW2_10,DPFOT,55,0.05,100,epsilon,sinkhorn_iters,30.290813446044922,64.70703887939453,0.2549999952316284,25.5,200.00001525878906,12.298145532608032,0.0
sigmaV2_10_sigmaW2_10,DPFOT,11,0.1,20,epsilon,sinkhorn_iters,29.615224838256836,63.26384735107422,0.24500000476837158,24.5,200.00001525878906,2.7311904430389404,0.0
sigmaV2_10_sigmaW2_10,DPFOT,22,0.1,20,epsilon,sinkhorn_iters,31.118343353271484,66.47480010986328,0.22300000488758087,22.30000114440918,200.00001525878906,2.551570415496826,0.0
sigmaV2_10_sigmaW2_10,DPFOT,33,0.1,20,epsilon,sinkhorn_iters,29.534072875976562,63.090492248535156,0.23499999940395355,23.5,200.00001525878906,2.5588464736938477,0.0
sigmaV2_10_sigmaW2_10,DPFOT,44,0.1,20,epsilon,sinkhorn_iters,31.17591667175293,66.59778594970703,0.2409999966621399,24.100000381469727,200.00001525878906,2.5560290813446045,0.0
sigmaV2_10_sigmaW2_10,DPFOT,55,0.1,20,epsilon,sinkhorn_iters,29.473947525024414,62.96205139160156,0.23800000548362732,23.80000114440918,200.00001525878906,2.4342305660247803,0.0
sigmaV2_10_sigmaW2_10,DPFOT,11,0.1,50,epsilon,sinkhorn_iters,29.906494140625,63.88605499267578,0.2409999966621399,24.100000381469727,200.00001525878906,6.205040454864502,0.0
sigmaV2_10_sigmaW2_10,DPFOT,22,0.1,50,epsilon,sinkhorn_iters,30.244829177856445,64.60880279541016,0.25999999046325684,26.0,200.00001525878906,6.155973434448242,0.0
sigmaV2_10_sigmaW2_10,DPFOT,33,0.1,50,epsilon,sinkhorn_iters,29.28500747680664,62.558441162109375,0.2630000114440918,26.30000114440918,200.00001525878906,6.592325448989868,0.0
sigmaV2_10_sigmaW2_10,DPFOT,44,0.1,50,epsilon,sinkhorn_iters,29.974689483642578,64.03173828125,0.257999986410141,25.799999237060547,200.00001525878906,6.2406837940216064,0.0
sigmaV2_10_sigmaW2_10,DPFOT,55,0.1,50,epsilon,sinkhorn_iters,29.813568115234375,63.68754959106445,0.2849999964237213,28.5,200.00001525878906,6.0494019985198975,0.0
