scenario,baseline,seed,transport_strength,rmse,mean_ess,runtime_sec,acceptance_or_resample_mean
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,33,0.15,26.476778030395508,200.00001525878906,1.5717861652374268,0.8228999972343445
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,44,0.15,25.796340942382812,200.00001525878906,1.510483980178833,0.8246166110038757
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,55,0.15,25.99734878540039,200.00001525878906,1.5294733047485352,0.8262999653816223
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,11,0.35,25.30032730102539,200.00001525878906,1.5757622718811035,0.8577000498771667
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,22,0.35,24.102476119995117,200.00001525878906,1.497772216796875,0.858033299446106
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,33,0.35,25.578527450561523,200.00001525878906,1.5426535606384277,0.8634166121482849
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,44,0.35,25.098461151123047,200.00001525878906,1.4662978649139404,0.8617666363716125
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,55,0.35,24.696332931518555,200.00001525878906,1.4723942279815674,0.8609666228294373
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,11,0.55,29.279495239257812,200.00001525878906,1.571141242980957,0.8649833798408508
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,22,0.55,27.429128646850586,200.00001525878906,1.4648981094360352,0.8666999936103821
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,33,0.55,29.450088500976562,200.00001525878906,1.4671602249145508,0.8678666949272156
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,44,0.55,26.469871520996094,200.00001525878906,1.5430083274841309,0.8654833436012268
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,55,0.55,29.182785034179688,200.00001525878906,1.4672510623931885,0.870033323764801
sigmaV2_10_sigmaW2_1,DPFNet-HMC,11,0.15,25.99390983581543,200.00001525878906,2.866518497467041,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,22,0.15,25.527772903442383,200.00001525878906,2.73041033744812,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,33,0.15,25.980762481689453,200.00001525878906,2.7316718101501465,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,44,0.15,26.139057159423828,200.00001525878906,2.9042611122131348,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,55,0.15,26.55734634399414,200.00001525878906,2.650616407394409,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,11,0.35,25.516061782836914,200.00001525878906,2.882956027984619,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,22,0.35,24.98142433166504,200.00001525878906,2.790393829345703,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,33,0.35,25.544395446777344,200.00001525878906,2.699287176132202,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,44,0.35,25.915437698364258,200.00001525878906,2.7385921478271484,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,55,0.35,25.136144638061523,200.00001525878906,2.7461490631103516,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,11,0.55,33.641517639160156,200.00001525878906,2.6542065143585205,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,22,0.55,30.12615966796875,200.00001525878906,2.9966814517974854,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,33,0.55,29.657743453979492,200.00001525878906,3.0248591899871826,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,44,0.55,30.36345672607422,200.00001525878906,2.819314479827881,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,55,0.55,31.76402473449707,200.00001525878906,2.739504098892212,1.0
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,11,0.15,25.798076629638672,200.00001525878906,1.5705838203430176,0.6203166842460632
