scenario,baseline,seed,grad_norm_mean,grad_norm_std,grad_norm_cv,grad_delta_std,particle_var_mean,particle_var_std
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,10.329953541755676,1.985112211451594,0.19217048783688961,1.328047129699741e-07,1.0000005161762238,1.328047129699741e-07
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,10.38239333152771,1.8990279067318947,0.18290849191440367,1.459230780420242e-07,1.0000004816055297,1.459230780420242e-07
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,10.328839831352234,1.8234034576389826,0.17653516633148003,1.4041923271882234e-07,1.0000004827976228,1.4041923271882234e-07
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,10.27576991558075,2.0647465861140857,0.200933516717165,1.482035662452703e-07,1.0000004625320436,1.482035662452703e-07
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,10.575408873558045,2.188773984308934,0.20696826103637275,1.3489098701301225e-07,1.0000004935264588,1.3489098701301225e-07
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,11,10.365108537673951,2.1308336477292142,0.20557755280461323,1.4441062736017366e-07,1.0000004947185517,1.4441062736017366e-07
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,22,10.487721877098084,2.0493433298022476,0.19540404997556,1.3158459402605657e-07,1.0000004816055297,1.3158459402605657e-07
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,33,10.558685393333436,2.0665717689728855,0.19572244952744608,1.2445244294146526e-07,1.000000478029251,1.2445244294146526e-07
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,44,10.573855938911437,1.7626892166997083,0.16670259429325784,1.637772520069371e-07,1.0000004947185517,1.637772520069371e-07
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,55,10.40801040649414,2.089670088770668,0.2007751728867225,1.3025490180595768e-07,1.0000004994869232,1.3025490180595768e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,11,11.118845019340515,2.001503665449989,0.18001003359328258,1.2800990810128497e-07,1.000000492334366,1.2800990810128497e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,22,10.989852085113526,1.853673201485196,0.1686713512728818,1.4294680127582064e-07,1.0000004637241364,1.4294680127582064e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,33,11.228517136573792,1.7364612455138848,0.15464742355496275,1.1834787031164986e-07,1.0000004911422729,1.1834787031164986e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,44,11.313355836868286,2.013917901873842,0.17801242451075647,1.4342319268603282e-07,1.0000004947185517,1.4342319268603282e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,55,11.204289741516114,1.796038360848557,0.16029917132485055,1.399326148975886e-07,1.00000048995018,1.399326148975886e-07
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,11,11.023591380119324,1.7935898714671337,0.16270467669019487,1.3471704627397557e-07,1.0000005042552949,1.3471704627397557e-07
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,22,11.043939695358276,1.8484783450964795,0.16737490389171425,1.3453231792131315e-07,1.0000004863739014,1.3453231792131315e-07
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,33,11.198901853561402,1.7746217638187165,0.1584639089639278,1.3677415379775493e-07,1.0000004839897156,1.3677415379775493e-07
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,44,10.942836623191834,1.9227488394750223,0.17570844797225804,1.5529726828624294e-07,1.0000005042552949,1.5529726828624294e-07
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,55,11.063345985412598,1.652597495359429,0.1493759209499943,1.4336868646977336e-07,1.0000005292892455,1.4336868646977336e-07
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,11,2.2802769365906714,2.6382809276608876,1.1570002245453053,3.03059838340748e-06,1.0000030493736267,3.03059838340748e-06
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,22,2.577916411757469,2.8816139688060756,1.117807371745449,5.5349123469667185e-06,1.0000039744377136,5.5349123469667185e-06
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,33,2.375102218389511,2.7588019324221347,1.1615508212917252,2.65951917473639e-06,1.0000031197071075,2.65951917473639e-06
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,44,2.26943494617939,2.622008881250088,1.155357586109379,4.83285457314697e-06,1.0000035095214843,4.83285457314697e-06
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,55,2.4395770439505577,2.6808402497340635,1.0988955058344103,4.68164415838717e-06,1.000003832578659,4.68164415838717e-06
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,11,2.278368707001209,2.654231232613207,1.1649700175643252,4.2055618171362096e-06,1.0000035572052002,4.2055618171362096e-06
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,22,2.3762406429648397,2.6816520091478053,1.1285271199645435,5.790539426910452e-06,1.000003869533539,5.790539426910452e-06
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,33,2.397897574305534,2.691601315015617,1.122483855798196,4.553030234448364e-06,1.0000038981437682,4.553030234448364e-06
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,44,2.264947671890259,2.63616929325205,1.1638985421027324,3.348020009237854e-06,1.0000034809112548,3.348020009237854e-06
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,55,2.2949024564027787,2.6394470035006186,1.1501347240866646,3.3649266786000743e-06,1.0000035095214843,3.3649266786000743e-06
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,11,15.784402828216553,1.6141003502412858,0.1022591964870463,1.373495891309132e-07,1.0000004708766936,1.373495891309132e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,22,15.778805646896362,1.7228721885496565,0.10918901132979857,1.2937915507931113e-07,1.0000004637241364,1.2937915507931113e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,33,15.956953287124634,1.7893050244793656,0.11213324951719462,1.314765518089508e-07,1.0000004839897156,1.314765518089508e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,44,16.108047561645506,1.678831892580425,0.1042231770272303,1.1118463255663628e-07,1.000000478029251,1.1118463255663628e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,55,15.77144178390503,1.6571403505664632,0.10507221681264407,1.2918679412979192e-07,1.0000004577636719,1.2918679412979192e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,11,16.002245082855225,1.6421574054635057,0.10262043837979397,1.1979792225611638e-07,1.000000478029251,1.1979792225611638e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,22,15.745082550048828,1.60065703381809,0.10166075844506298,1.3207507017946443e-07,1.0000004708766936,1.3207507017946443e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,33,15.736471920013427,1.5749558994163257,0.10008316396595343,1.280376585206752e-07,1.0000004863739014,1.280376585206752e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,44,15.951365613937378,1.7798080020264577,0.11157715553026787,1.3780923859232355e-07,1.0000004696846008,1.3780923859232355e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,55,15.919271297454834,1.644760621483481,0.10331883857940435,1.3050014670757303e-07,1.0000004720687867,1.3050014670757303e-07
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,11,14.999752578735352,2.067349609884431,0.137825580724261,1.3747369088573694e-07,1.000000478029251,1.3747369088573694e-07
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,22,14.923013696670532,1.9604795223477935,0.13137289572984814,1.2889495819287374e-07,1.0000004804134368,1.2889495819287374e-07
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,33,14.906601476669312,1.8453894230108794,0.12379679069700385,1.2730301927769176e-07,1.0000004601478576,1.2730301927769176e-07
