scenario,baseline,rmse_mean,rmse_std,rmse_percent_mean,rmse_percent_std,coverage_mean,coverage_std,coverage_percent_mean,coverage_percent_std,mean_ess_mean,runtime_sec_mean
sigmaV2_10_sigmaW2_1,DPF-GradNet,24.985572814941406,0.7332211109469661,24.985572814941406,0.7332211109469661,0.7218000054359436,0.011923092314854528,72.17999877929688,1.1923079221246073,200.00001525878906,0.38210282325744627
sigmaV2_10_sigmaW2_1,DPFNet-HMC,25.418692779541015,0.32956776101167845,25.418692779541015,0.32956776101167845,0.7184000134468078,0.009178239307730408,71.84000091552734,0.9178217102999275,200.00001525878906,2.821766805648804
sigmaV2_10_sigmaW2_1,SPFSM,29.41579933166504,0.06024570473028609,62.83783645629883,0.12869772651976932,0.9341999888420105,0.004791655945287673,93.41999816894531,0.4791660821493659,200.00001525878906,1.5267544269561768
sigmaV2_10_sigmaW2_1,IPFPF,29.457195663452147,0.04682792227034703,62.92626724243164,0.10003452472224139,0.9314000129699707,0.0013564766550076194,93.14000091552734,0.13564812952051813,200.00001525878906,0.8399303913116455
sigmaV2_10_sigmaW2_1,DPFOT,31.456649780273438,0.2773771036220071,67.1974868774414,0.5925322435523449,0.5215999960899353,0.0070880230046385054,52.15999984741211,0.7088017757306878,200.00001525878906,6.279732751846313
sigmaV2_10_sigmaW2_1,DPFOT-HMC,31.64394645690918,1.117768807843095,67.59758911132812,2.3877698194028625,0.5033999860286713,0.008569706720528621,50.33999862670898,0.8569715111364332,200.00001525878906,7.537227916717529
sigmaV2_10_sigmaW2_1,DPFS,32.432101821899415,0.9465676481350136,69.28124389648437,2.022051024164179,0.5861999988555908,0.006852736128523472,58.619999694824216,0.6852730756697776,147.9819305419922,0.2937349796295166
sigmaV2_10_sigmaW2_1,DFPHS,38.035176849365236,1.2425840401243546,81.25049438476563,2.654398829143802,0.06760000064969063,0.015615376466334957,6.7600000381469725,1.5615375776212603,200.00001525878906,0.31392707824707033
sigmaV2_10_sigmaW2_10,DPFNet-HMC,24.546161651611328,0.45196943356077973,24.546161651611328,0.45196943356077973,0.7245999932289123,0.01349961812786957,72.45999908447266,1.3499599513055645,200.00001525878906,3.032878112792969
sigmaV2_10_sigmaW2_10,DPF-GradNet,24.581119537353516,0.6995576137732484,24.581119537353516,0.6995576137732484,0.7225999951362609,0.010461377753434996,72.25999908447265,1.0461360906780377,200.00001525878906,0.3871817111968994
sigmaV2_10_sigmaW2_10,SPFSM,29.41579933166504,0.06024570473028609,62.83783645629883,0.12869772651976932,0.9341999888420105,0.004791655945287673,93.41999816894531,0.4791660821493659,200.00001525878906,1.5484419345855713
sigmaV2_10_sigmaW2_10,DPFOT-HMC,29.436785888671874,0.16641454865987398,62.882669067382814,0.35549364719668486,0.3288000047206879,0.020439178310160913,32.880000305175784,2.0439173616254354,200.00001525878906,7.805454874038697
sigmaV2_10_sigmaW2_10,IPFPF,29.457195663452147,0.04682792227034703,62.92626724243164,0.10003452472224139,0.9314000129699707,0.0013564766550076194,93.14000091552734,0.13564812952051813,200.00001525878906,0.7926805973052978
sigmaV2_10_sigmaW2_10,DPFOT,29.844917678833006,0.3146565805739835,63.75451736450195,0.6721666677810297,0.2613999962806702,0.014065561653341224,26.14000015258789,1.4065560300688489,200.00001525878906,6.3544838428497314
sigmaV2_10_sigmaW2_10,DPFS,31.925618743896486,1.4238619327815796,68.19929733276368,3.041645528483856,0.6582000017166137,0.03040000263013694,65.82000122070312,3.0399981448533615,152.31719665527345,0.2563967227935791
sigmaV2_10_sigmaW2_10,DFPHS,32.563276290893555,1.3306538020258603,69.56145629882812,2.842531662148502,0.41459999680519105,0.030414469439501643,41.459999084472656,3.0414468514503534,200.00001525878906,0.3183463096618652
