scenario,baseline,grad_norm_mean_mean,grad_norm_mean_std,grad_norm_cv_mean,grad_norm_cv_std,grad_delta_std_mean,grad_delta_std_std,particle_var_mean_mean,particle_var_mean_std
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,2.38846151137352,0.11362715617493657,1.138122301905254,0.02511479413741743,4.147905727328947e-06,1.1082859944810394e-06,1.0000034971237182,3.697122704531167e-07
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,2.3224714105129243,0.054026498564752536,1.1460028519032923,0.017638740619747583,4.2524156332665905e-06,9.015494786777302e-07,1.0000036630630493,1.8212807588947918e-07
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,15.879930221557618,0.1334851879883098,0.10657537023478278,0.0035816973855481147,1.2771534454112068e-07,8.776824221100646e-09,1.0000004708766936,9.446913133464764e-09
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,15.870887292861937,0.10951435232677459,0.10385207098009652,0.0040120991430926565,1.2964400725123052e-07,5.879452194864349e-09,1.0000004754066467,6.189706332624537e-09
extreme_sigmaV2_80_sigmaW2_80,DPFNet-HMC,15.007678020477295,0.09032113092553064,0.13508578746228558,0.008114160022154027,1.339845625772704e-07,4.986803155134019e-09,1.0000004715919495,8.483146108509047e-09
extreme_sigmaV2_80_sigmaW2_80,DPFNet-PMMH,15.06278313446045,0.0909564356251616,0.1357913119198543,0.0032493153432251246,1.320025063905338e-07,5.473821253118664e-09,1.0000004713535309,2.1199152566069176e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,11.170971963882447,0.10974180363518463,0.16832808085134685,0.009818310840530954,1.345320774544754e-07,9.833540213355479e-09,1.0000004863739014,1.1434153349911265e-08
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,11.054523107528686,0.08302495605220848,0.16272557169361784,0.008792573538552407,1.4093789454981197e-07,7.86342756977567e-09,1.0000005016326905,1.6264970651963834e-08
sigmaV2_10_sigmaW2_10,DPFNet-HMC,10.378473098754885,0.10408133367792388,0.1919031847672622,0.01118620006266999,1.4044831539782064e-07,5.990431443077067e-09,1.0000004873275756,1.7542812462803447e-08
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,10.47867643070221,0.08177254586843857,0.19283636389751996,0.013588664384114879,1.3889596362811805e-07,1.404442517275605e-08,1.0000004897117614,8.341243617741348e-09
