scenario,baseline,seed,flow_magnitude_mean,flow_magnitude_std,jacobian_conditioning_mean,jacobian_conditioning_std
sigmaV2_10_sigmaW2_10,DPFOT-HMC,55,59.18836940765381,14.562906431912717,174693526.0368866,591350502.8840301
sigmaV2_10_sigmaW2_10,IPFPF,11,0.0,0.0,1.000000147819519,8.106231689453124e-08
sigmaV2_10_sigmaW2_10,IPFPF,22,0.0,0.0,1.0000001573562622,8.23838832052755e-08
sigmaV2_10_sigmaW2_10,IPFPF,33,0.0,0.0,1.0000001633167266,7.474146766384714e-08
sigmaV2_10_sigmaW2_10,IPFPF,44,0.0,0.0,1.0000001561641694,7.852445390403011e-08
sigmaV2_10_sigmaW2_10,IPFPF,55,0.0,0.0,1.0000001692771912,8.289975476605277e-08
sigmaV2_10_sigmaW2_10,SPFSM,11,1.4345260870456695,0.02628471884666752,1.0279885411262513,0.003714573246026814
sigmaV2_10_sigmaW2_10,SPFSM,22,1.4347667050361634,0.025592926934186033,1.0282773387432098,0.0033298122904390957
sigmaV2_10_sigmaW2_10,SPFSM,33,1.4344594705104827,0.0251265431839357,1.02914013504982,0.004265081686079397
sigmaV2_10_sigmaW2_10,SPFSM,44,1.4365926706790924,0.02536669551266744,1.0288269650936126,0.003962958604279551
sigmaV2_10_sigmaW2_10,SPFSM,55,1.4371776568889618,0.025186907014153652,1.029519362449646,0.0038873375158678773
sigmaV2_10_sigmaW2_10,DPF-GradNet,11,10.337834415435792,2.0043626169694484,1.000000503063202,1.3121688752953542e-07
sigmaV2_10_sigmaW2_10,DPF-GradNet,22,10.528214111328126,1.8512328552479282,1.0000004947185517,1.4142764231806602e-07
sigmaV2_10_sigmaW2_10,DPF-GradNet,33,10.365272536277772,2.0993964499966977,1.0000004911422729,1.3930665166846794e-07
sigmaV2_10_sigmaW2_10,DPF-GradNet,44,10.438396759033203,1.9197573689350713,1.000000492334366,1.4170871108739913e-07
sigmaV2_10_sigmaW2_10,DPF-GradNet,55,10.180387978553773,1.9899931414880008,1.0000004935264588,1.359404114737361e-07
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,10.329953541755676,1.985112211451594,1.0000005161762238,1.328047129699741e-07
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,10.38239333152771,1.8990279067318947,1.0000004816055297,1.459230780420242e-07
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,10.328839831352234,1.8234034576389826,1.0000004827976228,1.4041923271882234e-07
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,10.27576991558075,2.0647465861140857,1.0000004625320436,1.482035662452703e-07
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,10.575408873558045,2.188773984308934,1.0000004935264588,1.3489098701301225e-07
sigmaV2_10_sigmaW2_1,DFPHS,11,0.0,0.0,1.0000001966953278,8.980345233273127e-08
sigmaV2_10_sigmaW2_1,DFPHS,22,0.0,0.0,1.0000001895427704,9.400920458861527e-08
sigmaV2_10_sigmaW2_1,DFPHS,33,0.0,0.0,1.000000206232071,1.2599581660655307e-07
sigmaV2_10_sigmaW2_1,DFPHS,44,0.0,0.0,1.0000002110004425,1.4290703030717838e-07
sigmaV2_10_sigmaW2_1,DFPHS,55,0.0,0.0,1.0000001990795135,2.0022547849126587e-07
