scenario,baseline,seed,differentiability_sensitivity,bias_l2,diff_bias_product,flow_magnitude_std,jacobian_conditioning,acceptance_or_resample_mean
sigmaV2_10_sigmaW2_10,DPFNet-HMC,11,0.33499578212295145,24.976343154907227,8.36696960974937,1.985112211451594,1.0000005161762238,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,22,0.34494321274999756,24.52538299560547,8.45986440442831,1.8990279067318947,1.0000004816055297,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,33,0.3541824663047735,24.261146545410156,8.592872718834904,1.8234034576389826,1.0000004827976228,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,44,0.32629125178925145,23.872852325439453,7.789502869047581,2.0647465861140857,1.0000004625320436,1.0
sigmaV2_10_sigmaW2_10,DPFNet-HMC,55,0.313600150064169,25.095083236694336,7.869821868900156,2.188773984308934,1.0000004935264588,1.0
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,11,0.3194037475371128,25.30032730102539,8.081019353863036,2.1308336477292142,1.0000004947185517,0.8577000498771667
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,22,0.32793945838327454,24.102476119995117,7.904152964487007,2.0493433298022476,1.0000004816055297,0.858033299446106
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,33,0.32609704756231384,25.578527450561523,8.34108228261971,2.0665717689728855,1.000000478029251,0.8634166121482849
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,44,0.36196615745096145,25.098461151123047,9.084793540804244,1.7626892166997083,1.0000004947185517,0.8617666363716125
sigmaV2_10_sigmaW2_10,DPFNet-PMMH,55,0.32365915171152937,24.696332931518555,7.993194167000802,2.089670088770668,1.0000004994869232,0.8609666228294373
sigmaV2_10_sigmaW2_1,DPFNet-HMC,11,0.333166343093597,25.516061782836914,8.50109299433806,2.001503665449989,1.000000492334366,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,22,0.3504255495967616,24.98142433166504,8.754129351133633,1.853673201485196,1.0000004637241364,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,33,0.36543546949162375,25.544395446777344,9.334828142972775,1.7364612455138848,1.0000004911422729,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,44,0.33179404103153254,25.915437698364258,8.598587799041196,2.013917901873842,1.0000004947185517,1.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,55,0.3576488842222159,25.136144638061523,8.98991408345094,1.796038360848557,1.00000048995018,1.0
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,11,0.35796235167291085,25.97681427001953,9.29872152506662,1.7935898714671337,1.0000005042552949,0.6668666005134583
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,22,0.3510646313044481,25.58673095703125,8.982596269716284,1.8484783450964795,1.0000004863739014,0.6695166230201721
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,33,0.36040948465123346,24.510576248168945,8.833844154107332,1.7746217638187165,1.0000004839897156,0.6721166372299194
sigmaV2_10_sigmaW2_1,DPFNet-PMMH,44,0.3421436650641585,26.18145751953125,8.957819832453994,1.9227488394750223,1.0000005042552949,0.6672332882881165
