scenario,baseline,regularization,iterations,rmse_mean,rmse_std,ess_mean,ess_std,runtime_sec_mean,runtime_sec_std
sigmaV2_10_sigmaW2_1,DPF-GradNet,0.2,1,25.39626274108887,0.13365042310730718,200.00001525878906,0.0,0.4651803016662598,0.060020158880536606
sigmaV2_10_sigmaW2_1,DPF-GradNet,0.2,2,24.768093490600585,0.8410892862381008,200.00001525878906,0.0,0.593116283416748,0.05741558125197414
sigmaV2_10_sigmaW2_1,DPF-GradNet,0.2,4,31.865935134887696,0.8984759685013861,200.00001525878906,0.0,1.0673630237579346,0.09350160998034866
sigmaV2_10_sigmaW2_1,DPF-GradNet,0.35,1,24.985572814941406,0.7332211109469661,200.00001525878906,0.0,0.41750140190124513,0.03744181760749726
sigmaV2_10_sigmaW2_1,DPF-GradNet,0.35,2,31.74250030517578,0.9558954800369053,200.00001525878906,0.0,0.6278239727020264,0.06101441376357753
sigmaV2_10_sigmaW2_1,DPF-GradNet,0.35,4,37.781008911132815,1.3205035710042732,200.00001525878906,0.0,1.0868117809295654,0.14366716333235455
sigmaV2_10_sigmaW2_1,DPF-GradNet,0.5,1,28.5968448638916,0.9007499608354418,200.00001525878906,0.0,0.3911848545074463,0.026567598046396093
sigmaV2_10_sigmaW2_1,DPF-GradNet,0.5,2,36.08983306884765,0.8088687206808141,200.00001525878906,0.0,0.6792275905609131,0.07380468611766215
sigmaV2_10_sigmaW2_1,DPF-GradNet,0.5,4,38.07517929077149,1.1153644951719532,200.00001525878906,0.0,1.1199071407318115,0.07056081491230119
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.2,1,25.44470634460449,0.16998049514893826,200.00001525878906,0.0,1.310716152191162,0.13951787747115948
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.2,2,25.086936950683594,0.11004934760493744,200.00001525878906,0.0,2.271350288391113,0.2949907782152437
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.2,4,24.91499900817871,0.1705847428059492,200.00001525878906,0.0,3.572385835647583,0.044180638999294836
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.35,1,24.648159408569335,0.4658366935886023,200.00001525878906,0.0,1.1743703842163087,0.058027735392967676
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.35,2,25.717436218261717,0.7356327650176308,200.00001525878906,0.0,1.9799756050109862,0.0918999724557595
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.35,4,24.977680969238282,0.9926115800947732,200.00001525878906,0.0,3.4927897453308105,0.03513894830038128
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.5,1,29.853533935546874,1.373046470523817,200.00001525878906,0.0,1.2037110805511475,0.05355769556102463
sigmaV2_10_sigmaW2_1,DPFNet-HMC,0.5,2,29.22903823852539,1.1623571687223362,200.00001525878906,0.0,1.9607530593872071,0.053378582386357856
