scenario,transport_strength,rmse_hmc,rmse_pmmh,rmse_delta_pmmh_minus_hmc,rmse_relative_delta_percent,acceptance_hmc,acceptance_pmmh,quality_winner
extreme_sigmaV2_0p2_sigmaW2_60,0.15,16.868489456176757,16.88773078918457,0.0192413330078125,0.11406672220295858,1.0,0.9826800346374511,HMC
extreme_sigmaV2_0p2_sigmaW2_60,0.35,17.408195114135744,17.48148307800293,0.0732879638671875,0.4209969120100019,1.0,0.9834800124168396,HMC
extreme_sigmaV2_0p2_sigmaW2_60,0.55,18.282447814941406,18.178076553344727,-0.10437126159667898,-0.5708823164881736,1.0,0.9831599950790405,PMMH
extreme_sigmaV2_60_sigmaW2_0p2,0.15,35.47977752685547,35.66108932495117,0.18131179809569886,0.511028565380546,1.0,0.5077299833297729,HMC
extreme_sigmaV2_60_sigmaW2_0p2,0.35,35.90825424194336,36.470618438720706,0.5623641967773452,1.5661139998292213,1.0,0.5133600115776062,HMC
extreme_sigmaV2_60_sigmaW2_0p2,0.55,40.28181457519531,40.60029678344726,0.3184822082519503,0.7906352075014637,1.0,0.5162300109863281,HMC
extreme_sigmaV2_80_sigmaW2_80,0.15,39.15080871582031,39.13922348022461,-0.011585235595703125,-0.029591305967127286,1.0,0.9370000004768372,PMMH
extreme_sigmaV2_80_sigmaW2_80,0.35,39.006604766845705,39.00408096313477,-0.002523803710936079,-0.006470195819455752,1.0,0.9545600295066834,PMMH
extreme_sigmaV2_80_sigmaW2_80,0.55,39.58478546142578,40.392755126953126,0.8079696655273452,2.0411116445602264,1.0,0.9603700160980224,HMC
sigmaV2_10_sigmaW2_1,0.15,26.03976974487305,25.816303634643553,-0.22346611022949503,-0.8581723740990187,1.0,0.6234399914741516,PMMH
sigmaV2_10_sigmaW2_1,0.35,25.418692779541015,25.761566162109375,0.3428733825683601,1.348902500778214,1.0,0.6680099725723266,HMC
sigmaV2_10_sigmaW2_1,0.55,31.110580444335938,30.548602294921874,-0.5619781494140632,-1.8063891492464206,1.0,0.6703733563423157,PMMH
sigmaV2_10_sigmaW2_10,0.15,26.121799087524415,26.052763748168946,-0.06903533935546946,-0.264282483469679,1.0,0.8239333033561707,PMMH
sigmaV2_10_sigmaW2_10,0.35,24.546161651611328,24.955224990844727,0.40906333923339844,1.6665063362627432,1.0,0.8603766441345215,HMC
sigmaV2_10_sigmaW2_10,0.55,28.88331527709961,28.36227378845215,-0.5210414886474588,-1.8039531945994134,1.0,0.8670133471488952,PMMH
