scenario,baseline,transport_strength,rmse_mean,rmse_std,mean_ess_mean,mean_ess_std,runtime_sec_mean,runtime_sec_std,acceptance_or_resample_mean_mean,acceptance_or_resample_mean_std
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,0.15,16.868489456176757,0.17685287532416888,200.00001525878906,0.0,2.8251543998718263,0.05946220667304302,1.0,0.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,0.35,17.408195114135744,0.1556700541369304,200.00001525878906,0.0,3.015510606765747,0.12349251600211766,1.0,0.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-HMC,0.55,18.282447814941406,0.03239159726819073,200.00001525878906,0.0,2.803466463088989,0.03886106124383193,1.0,0.0
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,0.15,16.88773078918457,0.1537834109853211,200.00001525878906,0.0,0.5272292137145996,0.045742387456889785,0.9826800346374511,0.0006407974351972169
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,0.35,17.48148307800293,0.20727321488046715,200.00001525878906,0.0,0.50416259765625,0.006371684005313872,0.9834800124168396,0.0004501174589223709
extreme_sigmaV2_0p2_sigmaW2_60,DPFNet-PMMH,0.55,18.178076553344727,0.1222704250803872,200.00001525878906,0.0,0.5259123802185058,0.04736805065135789,0.9831599950790405,0.0004211839662935617
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,0.15,35.47977752685547,0.3377697035529034,200.00001525878906,0.0,2.7572773456573487,0.05594121924050092,1.0,0.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,0.35,35.90825424194336,0.7984594460695479,200.00001525878906,0.0,2.8277158737182617,0.1078078454066536,1.0,0.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-HMC,0.55,40.28181457519531,0.9040454024492217,200.00001525878906,0.0,2.911839485168457,0.123821813157747,1.0,0.0
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,0.15,35.66108932495117,0.3207508521021922,200.00001525878906,0.0,0.5967621326446533,0.051748677393039844,0.5077299833297729,0.002126406879135035
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,0.35,36.470618438720706,0.7956942915718734,200.00001525878906,0.0,0.5722292900085449,0.03558269592805267,0.5133600115776062,0.003225259109274219
extreme_sigmaV2_60_sigmaW2_0p2,DPFNet-PMMH,0.55,40.60029678344726,1.3190170553415006,200.00001525878906,0.0,0.6562881946563721,0.06628432397020312,0.5162300109863281,0.0026873180077038403
