scenario,baseline,seed,rmse,rmse_percent,coverage,coverage_percent,mean_ess,final_ess,runtime_sec,peak_memory_mb
sigmaV2_10_sigmaW2_10,DFPHS,11,32.680599212646484,69.81208038330078,0.4429999887943268,44.29999923706055,200.00001525878906,200.00001525878906,0.42491888999938965,0.0
sigmaV2_10_sigmaW2_10,DFPHS,22,32.703857421875,69.86176300048828,0.39399999380111694,39.39999771118164,200.00001525878906,200.00001525878906,0.2823617458343506,0.0
sigmaV2_10_sigmaW2_10,DFPHS,33,33.235347747802734,70.99713134765625,0.39899998903274536,39.89999771118164,200.00001525878906,200.00001525878906,0.29764556884765625,0.0
sigmaV2_10_sigmaW2_10,DFPHS,44,34.09021759033203,72.82329559326172,0.3790000081062317,37.900001525878906,200.00001525878906,200.00001525878906,0.3078010082244873,0.0
sigmaV2_10_sigmaW2_10,DFPHS,55,30.106359481811523,64.3130111694336,0.4580000042915344,45.79999923706055,200.00001525878906,200.00001525878906,0.2790043354034424,0.0
sigmaV2_10_sigmaW2_10,DPFS,11,32.447757720947266,69.31468963623047,0.6520000100135803,65.20000457763672,152.4619598388672,150.90963745117188,0.24400544166564941,0.0
sigmaV2_10_sigmaW2_10,DPFS,22,32.65877914428711,69.76547241210938,0.6299999952316284,63.0,151.697021484375,142.5704803466797,0.2613663673400879,0.0
sigmaV2_10_sigmaW2_10,DPFS,33,29.085010528564453,62.13120651245117,0.7170000076293945,71.69999694824219,152.79351806640625,151.00025939941406,0.26008105278015137,0.0
sigmaV2_10_sigmaW2_10,DPFS,44,32.741764068603516,69.94274139404297,0.6499999761581421,65.0,152.4613037109375,144.06683349609375,0.2535269260406494,0.0
sigmaV2_10_sigmaW2_10,DPFS,55,32.69478225708008,69.84237670898438,0.6420000195503235,64.20000457763672,152.17218017578125,147.9748992919922,0.2630038261413574,0.0
sigmaV2_10_sigmaW2_10,DPFOT,11,29.906494140625,63.88605499267578,0.2409999966621399,24.100000381469727,200.00001525878906,200.00001525878906,6.224842071533203,0.0
sigmaV2_10_sigmaW2_10,DPFOT,22,30.244829177856445,64.60880279541016,0.25999999046325684,26.0,200.00001525878906,200.00001525878906,6.460999965667725,0.0
sigmaV2_10_sigmaW2_10,DPFOT,33,29.28500747680664,62.558441162109375,0.2630000114440918,26.30000114440918,200.00001525878906,200.00001525878906,6.348212718963623,0.0
sigmaV2_10_sigmaW2_10,DPFOT,44,29.974689483642578,64.03173828125,0.257999986410141,25.799999237060547,200.00001525878906,200.00001525878906,6.259359359741211,0.0
sigmaV2_10_sigmaW2_10,DPFOT,55,29.813568115234375,63.68754959106445,0.2849999964237213,28.5,200.00001525878906,200.00001525878906,6.4790050983428955,0.0
sigmaV2_10_sigmaW2_10,DPFOT-HMC,11,29.212427139282227,62.40339279174805,0.3070000112056732,30.700000762939453,200.00001525878906,200.00001525878906,7.907391548156738,0.0
sigmaV2_10_sigmaW2_10,DPFOT-HMC,22,29.591039657592773,63.21218490600586,0.3440000116825104,34.400001525878906,200.00001525878906,200.00001525878906,8.367011785507202,0.0
sigmaV2_10_sigmaW2_10,DPFOT-HMC,33,29.305213928222656,62.60160827636719,0.3190000057220459,31.900001525878906,200.00001525878906,200.00001525878906,7.379313707351685,0.0
sigmaV2_10_sigmaW2_10,DPFOT-HMC,44,29.65314483642578,63.344852447509766,0.31299999356269836,31.299999237060547,200.00001525878906,200.00001525878906,7.689266920089722,0.0
sigmaV2_10_sigmaW2_10,DPFOT-HMC,55,29.422103881835938,62.8513069152832,0.3610000014305115,36.099998474121094,200.00001525878906,200.00001525878906,7.684290409088135,0.0
sigmaV2_10_sigmaW2_10,IPFPF,11,29.377771377563477,62.75659942626953,0.9309999942779541,93.0999984741211,200.00001525878906,200.00001525878906,0.7779219150543213,0.0
sigmaV2_10_sigmaW2_10,IPFPF,22,29.4344425201416,62.877662658691406,0.9330000281333923,93.30000305175781,200.00001525878906,200.00001525878906,0.7725808620452881,0.0
sigmaV2_10_sigmaW2_10,IPFPF,33,29.491947174072266,63.00050735473633,0.9300000071525574,93.0,200.00001525878906,200.00001525878906,0.8717353343963623,0.0
sigmaV2_10_sigmaW2_10,IPFPF,44,29.50904083251953,63.037017822265625,0.9300000071525574,93.0,200.00001525878906,200.00001525878906,0.7842938899993896,0.0
sigmaV2_10_sigmaW2_10,IPFPF,55,29.472776412963867,62.95954895019531,0.9330000281333923,93.30000305175781,200.00001525878906,200.00001525878906,0.7568709850311279,0.0
sigmaV2_10_sigmaW2_10,SPFSM,11,29.41910743713379,62.84490203857422,0.9290000200271606,92.9000015258789,200.00001525878906,200.00001525878906,1.5476908683776855,0.0
sigmaV2_10_sigmaW2_10,SPFSM,22,29.442380905151367,62.89461898803711,0.9399999976158142,94.0,200.00001525878906,200.00001525878906,1.6132276058197021,0.0
sigmaV2_10_sigmaW2_10,SPFSM,33,29.483922958374023,62.98336410522461,0.9369999766349792,93.69999694824219,200.00001525878906,200.00001525878906,1.5032734870910645,0.0
sigmaV2_10_sigmaW2_10,SPFSM,44,29.30360221862793,62.59815979003906,0.9279999732971191,92.79999542236328,200.00001525878906,200.00001525878906,1.5511250495910645,0.0
sigmaV2_10_sigmaW2_10,SPFSM,55,29.429983139038086,62.86813735961914,0.9369999766349792,93.69999694824219,200.00001525878906,200.00001525878906,1.5268926620483398,0.0
sigmaV2_10_sigmaW2_10,DPF-GradNet,11,24.100061416625977,24.100061416625977,0.7279999852180481,72.79999542236328,200.00001525878906,200.00001525878906,0.41904568672180176,0.0
sigmaV2_10_sigmaW2_10,DPF-GradNet,22,25.47244644165039,25.47244644165039,0.7059999704360962,70.5999984741211,200.00001525878906,200.00001525878906,0.3848080635070801,0.0
